extraversion,agreeableness,conscientiousness,neuroticism,openness,implusiveness,rational,experiential,normative.influence,informational.influence,need_for_closure,utilitarian,hedonic,individual,collective
1,4.666666667,1.5,3,5,0.178648945,-1.521382374,0.450623966,2,5,-1.258703966,-0.384956286,1.102213203,-2.0208305,0.92531843
2,2.666666667,4.5,4,4,-0.445102129,0.093516134,0.450623966,4,4,-0.363982392,0.250172662,-0.150438391,0.38537908,-0.0336164
2.5,4.666666667,5,1,3.5,-1.038315681,0.093516134,-0.481288477,3,3,-0.618016459,0.347598727,0.923471578,1.14285797,0.43139236
1.5,4,2.5,4,4,-0.041403032,-0.983082871,-0.006913086,1,4,-0.14699459,0.357657428,-0.290917621,-1.1842575,0.00152316
2,4.666666667,4,1,1.5,0.553277354,-0.877693472,1.38253641,1,3,-1.041716164,-1.093893263,-2.164090167,-1.8223893,0.98457736
1.5,4.333333333,5,2.5,4,-0.631682916,0.093516134,-0.93882553,2,4,0.276705115,-0.571666396,-0.019142266,0.48459968,-0.0039869
3.5,5,5,2,3.5,-0.445102129,1.11742044,0.450623966,2,2,1.062932789,0.012081969,-0.100120853,0.36096379,0.39003062
4,3.666666667,3,3,4,2.55003632,-0.392088669,0.450623966,2,2,0.436182522,-0.589867118,0.168782464,-0.3498289,-0.0012319
5,4.666666667,5,3,5,-0.851734893,1.11742044,0.450623966,2,4,-1.295750231,0.436964984,1.131052796,0.18479349,0.82816492
4,4,3,2.5,4.5,0.148111423,-0.444783369,-1.41320092,4,4,1.716541088,0.268455597,-0.178227404,0.3631082,-0.5310096
1,2.666666667,5,1.5,1.5,-1.038315681,-0.877693472,0.908161019,1,4,-0.981560874,-0.669010248,-0.932916517,1.24207856,0.46102183
1.5,4,4,3.5,5,-0.445102129,0.093516134,-1.41320092,3,2,-0.255488491,0.268373384,-0.338363121,-1.0850369,0.03115263
3.5,3.333333333,4,2,4,1.583661193,0.093516134,0.450623966,4,4,-0.363982392,0.488263355,-0.200755929,0.38537908,-0.0336164
2.5,4.666666667,5,2,3,-0.851734893,-2.439897281,-1.41320092,2,5,-1.18725633,-0.333575703,-0.069459804,0.30842937,0.4341474
2,3.666666667,4,4.5,4,0.365229733,-0.444783369,-0.006913086,4,4,-0.123885565,1.291983903,0.016008395,-0.327558,0.49616137
4,4,4,2.5,4,0.366696566,0.093516134,-0.93882553,2,4,0.298797693,0.488263355,-0.200755929,-1.305749,-0.5254995
2.5,3.333333333,4,2,3.5,-0.039936198,-0.930388172,-1.41320092,1,2,1.061916341,-0.287033344,-1.499562745,-0.4469051,-0.9519016
4,4.333333333,5,1.5,3,-0.038469364,0.093516134,-0.023751424,4,4,1.994700628,1.310184625,-0.171916335,0.36096379,0.39003062
4,4.333333333,3,1.5,5,-1.038315681,0.631815637,0.908161019,1,1,0.276705115,1.151237062,0.980100183,1.21980768,-0.0363714
1.5,1.666666667,4.5,3,4,-1.038315681,0.579120937,-1.41320092,2,3,1.571000922,-0.226090937,-0.209939034,0.36525261,-1.4520498
2,4,3,3,2,-0.039936198,0.093516134,-0.464450139,2,4,0.916376175,0.012081969,-0.100120853,-0.3498289,-0.0012319
2,3.333333333,2,5,5,1.551656837,1.11742044,0.450623966,4,5,-1.150210065,0.675055677,1.080735259,1.24207856,0.46102183
3.5,5,5,2.5,5,-1.038315681,1.11742044,1.38253641,4,4,0.699388373,0.250172662,-0.150438391,-1.2834781,-0.0281063
2,3.333333333,4.5,4,2.5,-0.039936198,-0.930388172,-0.481288477,3,4,-1.404244132,0.488263355,-0.200755929,0.46232879,-0.5013801
5,4,4,1.5,3,-0.851734893,-0.33939397,0.450623966,5,5,-1.404244132,1.389327755,0.929782646,1.19539238,0.38727558
3,4,4,2,4,-0.038469364,0.631815637,1.38253641,5,5,0.931329863,-0.492441053,1.242692433,1.11844267,0.85503936
2,3.333333333,3.5,3,4,1.365076049,0.579120937,1.38253641,2,5,0.654186771,0.72643626,-0.090937748,0.38537908,-0.0336164
2.5,2,3,5,3,-0.291992531,-2.978196784,-2.345113364,4,2,-1.258703966,-0.09548501,-0.119777341,0.38537908,-0.0336164
3,5,5,1,5,-1.038315681,1.11742044,0.467462305,5,5,-0.632970147,1.389327755,0.929782646,1.21766327,0.88466882
2,4,2,2,4,0.771862497,-0.392088669,-0.93882553,1,1,0.676279348,0.012081969,-0.100120853,-1.0606216,-0.3924944
2.5,4,4,2.5,3,-0.446568963,0.093516134,-1.41320092,3,4,-0.363982392,-0.553465673,-0.207066997,-1.2065284,-0.4958701
2.5,2.666666667,4,2.5,3.5,-1.038315681,0.093516134,-0.006913086,2,3,0.530739182,-0.571666396,-0.019142266,-0.3254136,-0.4248789
3.5,3.666666667,3,3.5,3,0.958443285,0.631815637,1.38253641,4,5,-1.150210065,0.567488698,1.061078771,1.09617179,0.35764611
1.5,3.333333333,3.5,2.5,3.5,-0.225050152,0.579120937,-0.006913086,1,4,0.931329863,-0.226090937,-0.209939034,0.28401408,0.85779439
1.5,3.333333333,5,4,5,-1.038315681,0.093516134,1.38253641,1,2,-1.404244132,-1.155496973,-0.098299397,-0.4490495,-0.0308613
1.5,4.333333333,4.5,2,2.5,-0.445102129,-1.468687675,-0.955663868,2,2,0.362089991,-0.809757088,0.031175271,0.40764997,0.46377687
4,3,4,2,3.5,-0.039936198,0.093516134,-1.41320092,2,4,0.676279348,-0.412801046,-1.331294503,0.38537908,-0.0336164
2.5,4.666666667,5,2,4,-0.038469364,0.093516134,-0.006913086,4,4,1.18536393,0.58568942,0.87315404,0.38537908,-0.0336164
1.5,4.333333333,4.5,3.5,4.5,-0.445102129,0.579120937,-0.481288477,1,3,0.167194767,0.268455597,-0.178227404,-0.327558,0.49616137
3,2.333333333,2,2.5,4,-0.851734893,-2.978196784,0.924999357,1,4,-0.450383715,0.470144845,0.14730452,-1.7411508,-1.3252669
2,4,4,2,4,-0.631682916,0.093516134,0.450623966,1,1,1.316966855,-1.357186221,-0.42383132,0.38537908,-0.0336164
1,1.666666667,5,2,3.5,-0.631682916,-1.363298276,-0.93882553,1,2,-0.873066973,-0.922326718,-0.567182587,0.43420967,-0.8809104
3.5,4,2,4,5,2.582040675,1.11742044,1.38253641,1,1,1.076870029,0.509767873,0.379353875,-0.9879607,0.98182233
3,5,5,1,5,-1.038315681,1.11742044,1.38253641,2,3,-0.78666565,0.250172662,-0.150438391,0.3875235,-0.9546566
3,5,5,1,3,-1.038315681,1.11742044,1.38253641,1,3,1.740666561,-0.25435036,1.192374895,1.21766327,0.88466882
3,2.666666667,3,2.5,2.5,0.771862497,-0.392088669,-0.023751424,2,4,-0.109948325,0.304774829,-0.714212582,-0.4224898,-1.3755486
1.5,4.333333333,3.5,1.5,4.5,2.176874745,0.579120937,-2.345113364,1,5,1.708385752,-0.730613958,1.132874253,1.12058708,-0.0660009
4,4.333333333,4.5,2,4.5,0.773329331,0.093516134,0.450623966,4,3,0.931329863,-0.431001768,-1.143369773,0.26388761,-0.5606391
2,4,4,3.5,4,-0.039936198,0.093516134,-0.955663868,2,2,-0.255488491,-1.15541476,0.061836321,0.38537908,-0.0336164
3,3.666666667,3,4,4,1.551656837,1.11742044,-0.93882553,3,4,0.807882274,0.409120224,-1.30245491,0.38537908,-0.0336164
3.5,3,4,2.5,3.5,-0.851734893,-0.392088669,-0.006913086,5,4,-1.295750231,-0.236149638,1.004450165,1.11844267,0.85503936
2.5,3,4.5,4,3.5,-0.445102129,0.093516134,-1.41320092,3,3,0.654186771,-1.057409605,-2.37980391,0.28615849,-0.0632458
4,4,4.5,2,4,0.366696566,0.093516134,-0.006913086,2,3,0.54569287,-1.15541476,0.061836321,0.38537908,-0.0336164
4,3,3.5,1.5,2.5,0.771862497,0.093516134,0.450623966,1,1,0.14510219,-0.464263842,-0.319757214,-0.3519733,0.91980836
4,4.666666667,5,1.5,4,-1.038315681,0.579120937,-1.870737973,2,3,1.533954657,0.23197194,0.037486339,-1.062766,0.52854587
1,4.333333333,3.5,3,4.5,-0.851734893,-0.444783369,0.450623966,1,1,-0.873066973,-0.702354535,-0.269439676,-0.3498289,-0.0012319
1,4.666666667,4.5,2,3,-0.446568963,0.579120937,-0.498126815,4,2,-1.018607139,-0.113685732,0.068147389,0.38323467,0.88742386
2,3.666666667,5,5,2,-0.851734893,0.093516134,-0.955663868,2,3,-0.741464048,-0.571666396,-0.019142266,-0.4246342,-0.4545083
2,3.333333333,4,2,3,-0.039936198,0.093516134,-0.006913086,3,4,-0.255488491,-0.571666396,-0.019142266,0.38537908,-0.0336164
4.5,4,3.5,2.5,3,0.146644589,0.093516134,-0.481288477,2,2,-0.218442226,0.567488698,1.061078771,0.34083732,-1.0284029
3.5,4.666666667,3.5,3,4.5,0.553277354,0.579120937,-0.006913086,2,3,1.330904096,-0.333575703,-0.069459804,-0.5238548,-0.4841378
3,2.333333333,5,3.5,5,0.958443285,0.579120937,-1.41320092,3,5,0.821819514,-0.650809526,-1.120841248,0.48674409,-0.9250271
4.5,4.666666667,4.5,4.5,1,1.738237624,-2.439897281,1.38253641,1,1,-0.89515955,-2.691772534,-0.136322095,0.44005791,-0.9987734
3,3.666666667,4.5,3,3,2.55003632,0.579120937,0.450623966,5,5,-0.873066973,0.567406485,0.900943053,0.40764997,0.46377687
3.5,3,3,3.5,3.5,0.553277354,-0.392088669,0.450623966,4,4,0.290642356,-0.0338813,-2.185568111,-1.204384,-1.4169103
2.5,4,4.5,2,4,-0.851734893,-0.392088669,-0.481288477,3,3,-0.363982392,0.012081969,-0.100120853,-0.3498289,-0.0012319
3,2.666666667,4,2.5,2,1.365076049,-1.415992975,-0.023751424,3,2,0.035591841,-0.297174258,-0.445309265,0.16466702,-0.5902686
2,4.333333333,3,2.5,2.5,-0.631682916,0.093516134,-0.93882553,1,3,-0.255488491,0.048483414,-0.475970314,-1.062766,0.52854587
1,5,5,5,3,-1.038315681,-0.444783369,0.908161019,1,1,-1.404244132,-0.351694212,0.278600644,1.24207856,0.46102183
2.5,4,4,2.5,3,-0.445102129,0.093516134,-0.481288477,4,4,0.422245281,0.011999756,-0.260256571,-0.4490495,-0.0308613
2,2.333333333,5,4.5,1.5,-0.445102129,-1.901597778,-1.41320092,1,2,-1.404244132,-0.351694212,0.278600644,1.19539238,0.38727558
2,3.666666667,4,2,4,-0.851734893,0.093516134,0.450623966,2,4,1.499553287,0.524664799,-0.576605389,-1.2834781,-0.0281063
2.5,5,3.5,2,3,-0.258521341,0.093516134,0.450623966,2,3,1.499553287,-0.006118753,0.087803877,-0.327558,0.49616137
1.5,4,2.5,2,1,0.58528171,-0.444783369,-0.481288477,1,3,0.504493149,0.37271878,-0.926605449,-0.327558,0.49616137
2,4,5,2.5,4.5,-0.851734893,1.11742044,0.924999357,4,3,-0.569677848,0.012081969,-0.100120853,0.20920878,0.40451793
4.5,4.666666667,3.5,1.5,5,0.771862497,1.11742044,1.38253641,1,3,2.539815027,-0.589867118,0.168782464,-1.9216099,0.9549479
2,4.333333333,4,4,4,-0.851734893,0.093516134,-1.41320092,1,3,-0.14699459,0.012081969,-0.100120853,-1.0383507,0.10489888
3,4.333333333,2.5,2.5,4.5,1.365076049,0.093516134,-0.006913086,3,3,-0.195333201,-0.430919555,-0.983234055,1.04363738,0.4017629
2,4,3,3,5,-0.038469364,0.579120937,0.450623966,1,5,-0.195333201,0.012164182,0.060014864,-0.4267786,0.4665319
1.5,2.666666667,3,5,4.5,0.958443285,-0.930388172,1.38253641,3,3,-1.12710104,0.142687896,-0.009959161,0.2617432,0.36040115
4,4,4,2,4,0.146644589,0.093516134,-0.006913086,2,3,0.190303792,-2.399079675,-0.750413824,-0.4713204,-0.5282546
3.5,2.333333333,2,2,3.5,0.959910119,-0.877693472,-1.41320092,2,3,0.713325614,-0.528345621,-2.057144024,-0.3720998,-0.4986251
1,4,3.5,1.5,4,-0.446568963,-0.877693472,-0.481288477,2,2,0.035591841,-0.085261883,-1.013895104,-0.3498289,-0.0012319
2,4,2,4,4,-0.071940554,-0.983082871,0.450623966,3,4,-0.363982392,1.072011719,-0.281734516,-1.0850369,0.03115263
3,4.333333333,4,2,3,0.146644589,1.11742044,1.38253641,5,5,-1.404244132,0.488263355,-0.200755929,1.21766327,0.88466882
3,3.666666667,4,3.5,4.5,0.366696566,0.093516134,-0.481288477,3,3,-0.255488491,-1.047929994,-0.078642909,-0.3498289,-0.0012319
