,0,1,2,3,4
36,0.16016464,0.1832525,0.16609432,0.32800388,0.16248465
37,0.1553524,0.15997759,0.15536511,0.34538215,0.18392275
38,0.15126473,0.15489593,0.15589915,0.3848524,0.15308778
39,0.15655378,0.1565982,0.16469735,0.18923287,0.3329178
40,0.15884145,0.1596701,0.16151467,0.28459084,0.23538285
41,0.15985398,0.1635103,0.2344587,0.1684285,0.2737486
42,0.15709049,0.15775442,0.32541847,0.19306535,0.1666713
43,0.15245824,0.15252383,0.1646244,0.15637463,0.37401885
44,0.15433551,0.16229859,0.15265518,0.37871483,0.1519959
45,0.1541083,0.16421242,0.35901085,0.16670486,0.1559636
46,0.16619766,0.26321387,0.1812894,0.19429621,0.19500281
47,0.16090016,0.18630952,0.248255,0.24130613,0.16322918
48,0.15989025,0.37278166,0.15316428,0.15887614,0.15528768
49,0.159991,0.16326725,0.2245796,0.16804314,0.28411904
50,0.15242942,0.1524737,0.3744552,0.1597224,0.1609193
51,0.16201982,0.33067307,0.1567216,0.18956965,0.16101584
52,0.1509934,0.15526319,0.3870887,0.1528604,0.15379433
53,0.15594177,0.15689497,0.33589712,0.19444688,0.15681928
54,0.2920075,0.20710747,0.16027498,0.17220476,0.16840531
55,0.15288141,0.3712345,0.15358816,0.16817102,0.15412486
56,0.15028897,0.15067829,0.3949418,0.15038379,0.15370715
57,0.15689553,0.1575047,0.15856965,0.32258493,0.20444526
58,0.16026959,0.36864844,0.1530684,0.16466129,0.15335228
59,0.15431917,0.15645991,0.15501578,0.35682228,0.17738274
60,0.14895953,0.14904018,0.1489215,0.40402862,0.14905013
61,0.16005601,0.15882787,0.15837972,0.32311216,0.19962424
62,0.15444912,0.164582,0.15218927,0.3764016,0.15237801
63,0.15875028,0.27991536,0.15920767,0.24225084,0.15987577
64,0.22444732,0.18292391,0.1605983,0.26854342,0.16348708
65,0.15754916,0.15763877,0.1961467,0.16991666,0.3187487
66,0.16009657,0.22792318,0.27339342,0.17087454,0.16771226
67,0.15988277,0.15980646,0.1678975,0.25456992,0.25784332
68,0.15011518,0.15243764,0.14965671,0.39811343,0.14967705
69,0.15868859,0.16235267,0.28887513,0.15889777,0.23118584
70,0.14918618,0.14982246,0.40191922,0.1496249,0.14944725
71,0.15194157,0.15194511,0.37869194,0.15543951,0.16198194
72,0.16081306,0.19228125,0.15966022,0.3161245,0.17112093
73,0.20110069,0.2481973,0.1612931,0.22734894,0.16206001
74,0.14912608,0.15019685,0.1491232,0.402425,0.14912881
75,0.15113172,0.15204674,0.15109524,0.38642237,0.1593039
76,0.15762815,0.15762842,0.30934682,0.15914106,0.21625552
77,0.1502393,0.15094544,0.15034397,0.3933217,0.15514961
78,0.16602455,0.16449302,0.17804573,0.2692886,0.22214802
79,0.15253326,0.15314037,0.15258275,0.37284294,0.1689007
80,0.30501053,0.20330043,0.1607203,0.1676395,0.16332924
81,0.1567938,0.20502204,0.15697831,0.3245181,0.15668769
82,0.30987757,0.20330237,0.16401426,0.15952957,0.16327621
83,0.16664273,0.22946852,0.15908,0.28537625,0.15943255
84,0.1589316,0.1601515,0.16392279,0.28677252,0.23022164
85,0.15753838,0.1678943,0.164633,0.32250634,0.18742792
86,0.16156505,0.16342016,0.20709227,0.23789077,0.23003171
87,0.17877342,0.19254605,0.1804087,0.27157125,0.1767006
88,0.15913925,0.16241565,0.17120247,0.29429075,0.21295191
89,0.15694131,0.1571466,0.32336763,0.20146471,0.16107973
90,0.15451069,0.18232077,0.154429,0.35358605,0.15515348
91,0.1619662,0.16645111,0.20257697,0.1627456,0.3062601
92,0.15125543,0.15143616,0.15126333,0.3845142,0.16153081
93,0.16158542,0.16520633,0.20559642,0.24711415,0.22049776
94,0.15996796,0.24736519,0.1693125,0.26301548,0.16033882
95,0.16293234,0.17039225,0.1643364,0.20276833,0.29957068
96,0.16028278,0.1805447,0.28791413,0.19774255,0.17351589
97,0.16386315,0.22087742,0.23370518,0.20478207,0.1767722
98,0.15959038,0.16783158,0.1761008,0.3080889,0.18838836
99,0.15909901,0.15929316,0.29917243,0.18575864,0.19667672
100,0.17596899,0.16455947,0.15624276,0.34551403,0.15771474
101,0.1563833,0.19983982,0.15686877,0.32965475,0.15725335
102,0.15887865,0.26694134,0.15878792,0.25660262,0.15878952
103,0.20831193,0.21618776,0.18200484,0.18569231,0.20780326
104,0.162047,0.24145694,0.19998635,0.22083758,0.17567223
105,0.16568315,0.17291059,0.16359423,0.32639793,0.17141408
106,0.16422942,0.18688904,0.26293406,0.21283427,0.17311326
107,0.15839413,0.16278806,0.16171856,0.30594677,0.21115251
108,0.15384455,0.15387876,0.1544231,0.3597058,0.17814773
109,0.15718499,0.38040644,0.1520886,0.15816413,0.15215583
110,0.16454768,0.23354876,0.20175327,0.22737285,0.17277737
111,0.14951782,0.1517489,0.14947861,0.39955965,0.149695
112,0.15910412,0.15919173,0.23271441,0.16634579,0.2826439
113,0.1920444,0.16494814,0.17296481,0.29953936,0.17050332
114,0.15850571,0.17120989,0.1536648,0.36262187,0.15399776
115,0.3342899,0.1798829,0.16911876,0.15838721,0.1583213
116,0.1500075,0.15454327,0.15000711,0.3952729,0.15016928
117,0.19539334,0.23749633,0.16806757,0.23528846,0.16375422
118,0.16844605,0.16338658,0.22485949,0.16369846,0.2796095
119,0.17805381,0.24594411,0.2471161,0.160913,0.16797303
120,0.15039517,0.1503971,0.39202693,0.15529051,0.15189022
121,0.15973014,0.16123839,0.16798821,0.28669077,0.22435251
122,0.17303692,0.3547986,0.16194144,0.15551083,0.15471232
123,0.15286057,0.1556425,0.15506507,0.37897253,0.15745926
124,0.1544249,0.16057502,0.15752827,0.35637394,0.17109777
125,0.15933451,0.1595757,0.16621631,0.27232152,0.24255201
126,0.19452783,0.3323276,0.1570866,0.15937147,0.15668647
127,0.14890805,0.14908528,0.14894767,0.40414196,0.14891708
128,0.2150429,0.23783821,0.16331014,0.1953078,0.18850093
129,0.16690645,0.17999694,0.2381728,0.19252917,0.22239469
130,0.1559367,0.15594879,0.17294075,0.17538229,0.33979157
131,0.15054241,0.15751942,0.15052311,0.39086345,0.15055166
132,0.15892184,0.27361247,0.15882806,0.2487576,0.15988003
133,0.16078112,0.16642477,0.20333524,0.17416152,0.2952973
134,0.2517501,0.19864905,0.17964756,0.18972236,0.18023095
135,0.18116127,0.16046923,0.15517525,0.3472949,0.15589938
136,0.15494162,0.15594678,0.15241507,0.38046426,0.1562323
137,0.15963113,0.1597086,0.23957394,0.17046435,0.27062193
138,0.15220954,0.15221171,0.3757934,0.15225126,0.16753408
139,0.29932866,0.19216996,0.15936005,0.18220143,0.1669399
140,0.15660737,0.36529738,0.15336096,0.17134057,0.15339363
141,0.15623116,0.15626232,0.15623143,0.33066314,0.20061189
142,0.16018085,0.17372097,0.30097023,0.20445412,0.1606738
143,0.15357727,0.15379636,0.16374902,0.16502671,0.36385068
144,0.1541092,0.36139643,0.15367801,0.17713591,0.15368043
145,0.1621454,0.32071254,0.15716334,0.20262976,0.15734895
146,0.15078095,0.1562935,0.1503728,0.39216354,0.15038924
147,0.15921025,0.16183372,0.16286327,0.32747534,0.18861745
148,0.16082747,0.16247858,0.18735881,0.22980203,0.25953308
149,0.1516072,0.15165415,0.38147953,0.15268625,0.16257286
150,0.15889709,0.15889263,0.1598467,0.26158312,0.2607804
151,0.17359276,0.24942507,0.17224321,0.23998223,0.16475679
152,0.16094905,0.20088299,0.27937642,0.16049565,0.19829592
153,0.15111445,0.15602267,0.15162928,0.38607627,0.15515731
154,0.1652301,0.1723657,0.18750572,0.16444258,0.31045592
155,0.3248785,0.19201462,0.15987657,0.16427943,0.1589509
156,0.15819676,0.15898098,0.16814588,0.2057344,0.3089419
157,0.15873888,0.1587394,0.2794778,0.16020645,0.2428374
158,0.16121824,0.16660836,0.20048389,0.27817857,0.19351092
159,0.18410376,0.22052582,0.1603996,0.27296174,0.16200906
160,0.15811995,0.16065101,0.16388202,0.31082734,0.20651966
161,0.16255274,0.21875586,0.28944552,0.16386464,0.16538115
162,0.15099312,0.1596922,0.15140767,0.38687342,0.15103364
163,0.18162388,0.19504243,0.16102791,0.3027061,0.15959968
164,0.1616051,0.16277218,0.2297327,0.23793665,0.20795333
165,0.14939922,0.14960352,0.14943025,0.4002221,0.15134495
166,0.16399013,0.17960681,0.22710827,0.24542853,0.18386626
167,0.15336765,0.38819864,0.15145002,0.15612188,0.15086176
168,0.15741247,0.19550069,0.15609428,0.33417735,0.15681516
169,0.37855637,0.15538059,0.15241247,0.15645233,0.15719822
170,0.16194718,0.16322175,0.20007335,0.20736815,0.26738957
171,0.15776327,0.15780266,0.1812242,0.1840457,0.31916416
172,0.16791348,0.27828878,0.15932065,0.23496054,0.15951651
173,0.1588999,0.15924829,0.30154884,0.18057045,0.19973253
174,0.15571715,0.15538071,0.17119417,0.3464781,0.17122988
175,0.16029693,0.16091447,0.26755667,0.23152162,0.17971033
176,0.1567306,0.15672255,0.32487184,0.15704817,0.20462689
177,0.15320496,0.15321615,0.36682242,0.15546165,0.17129487
178,0.15836455,0.15854828,0.17979369,0.19350111,0.3097924
179,0.16104,0.1619278,0.25554892,0.16665049,0.2548328
180,0.18561585,0.3006038,0.15899497,0.19570544,0.1590799
181,0.32914287,0.19213621,0.15715162,0.16277498,0.15879428
182,0.15704685,0.15897936,0.3289927,0.19608453,0.15889649
183,0.15971664,0.16026112,0.1524251,0.37499687,0.15260032
184,0.15213053,0.15214081,0.1635157,0.15525964,0.3769533
185,0.15348704,0.1537524,0.16607267,0.16193059,0.3647573
186,0.15234265,0.15277389,0.37513065,0.15577506,0.1639777
187,0.15872166,0.15872219,0.25087604,0.15872985,0.27295032
188,0.15337344,0.1534323,0.15596876,0.36566612,0.17155941
189,0.17361456,0.21899888,0.1703366,0.2631567,0.1738932
190,0.15075274,0.15044247,0.14945976,0.39976475,0.14958039
191,0.15791485,0.15794116,0.21691707,0.16125683,0.30597016
192,0.15717521,0.18034658,0.15474406,0.35255033,0.15518378
193,0.1574242,0.15912324,0.15741864,0.33457628,0.19145763
194,0.16463777,0.20002708,0.17813791,0.2916861,0.16551113
195,0.15700027,0.2038577,0.15667246,0.32539058,0.15707903
196,0.15467884,0.15702775,0.15114912,0.3856969,0.15144743
197,0.16205662,0.15569377,0.157909,0.35873348,0.16560702
198,0.16080393,0.18523048,0.16179636,0.23631918,0.25585
199,0.21694571,0.27424878,0.17339508,0.16899952,0.16641082
200,0.2105128,0.25906068,0.16565605,0.19838686,0.16638353
201,0.15875223,0.15898697,0.30399224,0.19855604,0.17971255
202,0.1547032,0.16605283,0.15249108,0.37363142,0.15312149
203,0.16050577,0.17089267,0.2968273,0.17922744,0.19254683
204,0.16300999,0.22695498,0.28093374,0.16495775,0.16414352
205,0.15345086,0.15344955,0.16861466,0.15960036,0.36488461
206,0.15536304,0.15826596,0.15533654,0.3450878,0.18594672
